"AdminArea" "Province" "Municipality" "med_price_house" "newshops" "bankrupcies" "Mean_income" "tax_forms" "hotel_restaur" "Industries" "health_social"
"Vlaams_Gewest" "Antwerpen" "Rijkevorsel" 255 8 151 25.86547 6237 54 59 10
"Vlaams_Gewest" "Antwerpen" "Turnhout" 205.8 54 855 25.58982 24708 252 198 40
"Vlaams_Gewest" "Antwerpen" "Vorselaar" 237.5 0 64 26.57535 4412 36 46 9
"Vlaams_Gewest" "Antwerpen" "Vosselaar" 265 0 91 33.05969 5763 40 39 11
"Vlaams_Gewest" "Antwerpen" "Westerlo" 230 18 226 28.52195 13763 120 107 22
"Vlaams_Gewest" "Antwerpen" "Laakdal" 205 1 119 27.09136 8981 77 42 12
"Vlaams_Gewest" "Vlaams_Brabant" "Asse" 260 14 327 31.16494 17149 140 125 33
"Vlaams_Gewest" "Vlaams_Brabant" "Beersel" 255 2 172 33.77383 13122 97 121 22
"Vlaams_Gewest" "Vlaams_Brabant" "Bever" 270 0 13 30.64322 1141 12 15 3
"Vlaams_Gewest" "Vlaams_Brabant" "Dilbeek" 285 4 344 32.46544 22990 161 133 41
"Vlaams_Gewest" "Vlaams_Brabant" "Galmaarden" 230 1 46 30.74242 4753 26 30 15
"Vlaams_Gewest" "Vlaams_Brabant" "Gooik" 260 0 51 32.0973 5036 40 42 9
"Vlaams_Gewest" "Vlaams_Brabant" "Grimbergen" 287 9 269 33.05393 20271 133 114 31
"Vlaams_Gewest" "Vlaams_Brabant" "Halle_Halle_Vilvoorde" 230 23 260 28.24677 21073 165 132 20
"Vlaams_Gewest" "Vlaams_Brabant" "Herne" 200 0 35 31.52168 3695 31 30 5
"Vlaams_Gewest" "Vlaams_Brabant" "Hoeilaart" 290 0 94 35.3121 5347 44 36 10
"Vlaams_Gewest" "Vlaams_Brabant" "Kampenhout" 265 12 118 34.50636 6320 39 40 9
"Vlaams_Gewest" "Vlaams_Brabant" "Kapelle_op_den_Bos" 256.5 0 40 31.58769 5199 40 34 7
"Vlaams_Gewest" "Vlaams_Brabant" "Liedekerke" 219.671 3 84 29.09685 7048 57 36 11
"Vlaams_Gewest" "Vlaams_Brabant" "Londerzeel" 257.5 6 157 31.24557 10108 89 98 20
"Vlaams_Gewest" "Vlaams_Brabant" "Machelen_Halle_Vilvoorde" 250 2 302 27.55216 7329 67 73 6
"Vlaams_Gewest" "Vlaams_Brabant" "Meise" 276 0 177 35.86396 10423 66 69 19
"Vlaams_Gewest" "Vlaams_Brabant" "Merchtem" 270 8 136 31.02595 8780 78 77 8
"Vlaams_Gewest" "Vlaams_Brabant" "Opwijk" 225.3 1 91 31.32771 7443 43 53 8
"Vlaams_Gewest" "Vlaams_Brabant" "Overijse" 288.5 14 206 37.47371 12055 94 71 23
"Vlaams_Gewest" "Vlaams_Brabant" "Pepingen" 259 1 29 31.73087 2473 20 16 7
"Vlaams_Gewest" "Vlaams_Brabant" "Sint_Pieters_Leeuw" 250 27 297 28.87216 17791 98 110 16
"Vlaams_Gewest" "Vlaams_Brabant" "Steenokkerzeel" 296 0 86 34.07856 6458 55 38 4
"Vlaams_Gewest" "Vlaams_Brabant" "Ternat" 262 5 154 31.59082 8648 71 70 13
"Vlaams_Gewest" "Vlaams_Brabant" "Vilvoorde" 252.5 31 437 27.89137 21943 163 122 30
"Vlaams_Gewest" "Vlaams_Brabant" "Zaventem" 299.75 27 526 31.38427 15927 147 123 16
"Vlaams_Gewest" "Vlaams_Brabant" "Zemst" 257.5 2 139 34.65266 12312 86 71 21
"Vlaams_Gewest" "Vlaams_Brabant" "Roosdaal" 250 0 67 30.93682 6259 48 38 14
"Vlaams_Gewest" "Vlaams_Brabant" "Drogenbos" 267.5 20 64 25.18448 2877 18 20 5
"Vlaams_Gewest" "Vlaams_Brabant" "Kraainem" 410 2 70 38.66084 6083 26 30 21
"Vlaams_Gewest" "Vlaams_Brabant" "Linkebeek" 340 0 39 33.00641 2677 16 20 3
"Vlaams_Gewest" "Vlaams_Brabant" "Sint_Genesius_Rode" 292 3 144 38.64443 9185 45 59 20
"Vlaams_Gewest" "Vlaams_Brabant" "Wemmel" 315 2 239 33.00112 8585 73 61 14
"Vlaams_Gewest" "Vlaams_Brabant" "Wezembeek_Oppem" 346 0 60 38.71729 6504 23 21 16
"Vlaams_Gewest" "Vlaams_Brabant" "Lennik" 285 1 55 33.39536 5002 42 33 15
"Vlaams_Gewest" "Vlaams_Brabant" "Affligem" 230 0 112 33.01252 6839 60 43 11
"Vlaams_Gewest" "Vlaams_Brabant" "Aarschot" 210 19 324 28.69308 17027 188 135 29
"Vlaams_Gewest" "Vlaams_Brabant" "Begijnendijk" 210 1 72 29.74194 5580 43 38 12
"Vlaams_Gewest" "Vlaams_Brabant" "Bekkevoort" 195 2 105 28.27625 3375 25 33 8
"Vlaams_Gewest" "Vlaams_Brabant" "Bertem" 275 0 43 34.32903 5186 30 27 10
"Vlaams_Gewest" "Vlaams_Brabant" "Bierbeek" 252.5 24 60 37.20938 5105 35 22 8
"Vlaams_Gewest" "Vlaams_Brabant" "Boortmeerbeek" 242.5 10 129 34.13504 6588 63 54 11
"Vlaams_Gewest" "Vlaams_Brabant" "Boutersem" 273.75 2 59 34.07318 4214 26 28 7
"Vlaams_Gewest" "Vlaams_Brabant" "Diest" 185 33 391 28.05056 13750 173 104 18
"Vlaams_Gewest" "Vlaams_Brabant" "Geetbets" 180 1 57 26.74479 3323 32 21 3
"Vlaams_Gewest" "Vlaams_Brabant" "Haacht" 245 4 121 31.82436 7911 51 47 16
"Vlaams_Gewest" "Vlaams_Brabant" "Herent" 290 13 128 36.36624 10985 69 62 25
"Vlaams_Gewest" "Vlaams_Brabant" "Hoegaarden" 228 0 63 32.79678 3654 33 30 6
"Vlaams_Gewest" "Vlaams_Brabant" "Holsbeek" 278.75 1 75 33.85104 5208 41 33 13
"Vlaams_Gewest" "Vlaams_Brabant" "Huldenberg" 295 0 60 34.13876 5066 40 31 12
"Vlaams_Gewest" "Vlaams_Brabant" "Keerbergen" 242.5 2 170 40.04416 6949 67 37 10
"Vlaams_Gewest" "Vlaams_Brabant" "Kortenaken" 200 0 59 27.99462 4330 39 32 10
"Vlaams_Gewest" "Vlaams_Brabant" "Kortenberg" 287 0 105 35.12916 10370 68 59 12
"Vlaams_Gewest" "Vlaams_Brabant" "Landen" 168 4 123 28.89827 8846 64 47 12
"Vlaams_Gewest" "Vlaams_Brabant" "Leuven" 305 48 1146 29.88557 55665 568 320 184
"Vlaams_Gewest" "Vlaams_Brabant" "Lubbeek" 259 2 104 37.36779 7487 57 49 22
"Vlaams_Gewest" "Vlaams_Brabant" "Oud_Heverlee" 330 0 73 39.2245 5961 54 43 11
"Vlaams_Gewest" "Vlaams_Brabant" "Rotselaar" 259 1 140 33.14532 8661 63 57 25
"Vlaams_Gewest" "Vlaams_Brabant" "Tervuren" 302.5 4 79 38.02848 9970 47 41 12
"Vlaams_Gewest" "Vlaams_Brabant" "Tienen" 185 31 430 27.40032 19738 181 99 39
"Vlaams_Gewest" "Vlaams_Brabant" "Tremelo" 201.225 1 122 30.57878 8195 58 37 9
"Vlaams_Gewest" "Vlaams_Brabant" "Zoutleeuw" 181 1 73 27.172 4800 50 35 9
"Vlaams_Gewest" "Vlaams_Brabant" "Linter" 160 1 56 28.914 4077 47 30 7
"Vlaams_Gewest" "Vlaams_Brabant" "Scherpenheuvel_Zichem" 185.5 2 231 27.5866 13314 112 94 19
"Vlaams_Gewest" "Vlaams_Brabant" "Tielt_Winge" 225 28 115 30.13167 5910 57 40 8
"Vlaams_Gewest" "Vlaams_Brabant" "Glabbeek" 195 1 52 31.03062 2917 21 37 8
"Vlaams_Gewest" "West_Vlaanderen" "Beernem" 237 0 109 27.70713 8539 9 90 20
"Vlaams_Gewest" "West_Vlaanderen" "Blankenberge" 225 21 345 22.77157 12244 75 55 13
